net,length_um
_28028_,249.7
_20474_,249.42
_19866_,249.36
_24588_,249.13
_27479_,248.76
_19315_,248.6
_24782_,248.575
_24794_,248.56
_26667_,248.54
_25895_,248.24
_26819_,248.1
_24793_,247.48
_23570_,246.78
_20566_,246.73
_24170_,246.7
_24572_,246.3
_19157_,245.39
_25160_,244.185
_25566_,243.99
_26747_,242.88
_20352_,242.65
_19174_,242.52
_20127_,241.99
_19773_,241.55
_19162_,241.37
_24553_,241.35
_25372_,241.05
_19888_,240.56
L1C0.addr\[5\],240.41
_25470_,240.24
_19793_,239.45
EC0.RF.wdata\[20\],239.39
_25970_,239.02
_25174_,238.86
_26698_,238.78
_20304_,238.495
_19926_,238.17
_19167_,238.07
_19918_,237.21
_27400_,237.06
_19091_,237.04
_25586_,236.98
_26672_,236.65
_24300_,236.54
_24785_,236.19
_27362_,236.16
_25909_,235.88
_20200_,235.78
_24780_,235.14
_19321_,234.96
_24533_,234.35
_19282_,234.22
_20485_,234.07
_25604_,234.07
_19244_,233.68
_20010_,233.5
EC0.RF.wdata\[17\],233.36
_20391_,232.76
_26857_,232.76
_25196_,232.66
_20445_,232.455
_20874_,231.85
_20022_,231.78
_20467_,231.7
_24789_,231.63
_24539_,231.32
_20666_,231.04
_24355_,231.03
_25028_,230.08
_19185_,229.82
_20502_,229.66
_19833_,229.46
_19807_,229.43
_26712_,229.42
EC0.RF.wdata\[14\],229.215
_19120_,228.58
_21335_,228.43
_19180_,228.3
_26749_,228.04
_19785_,227.78
_19169_,227.67
EC0.RF.wdata\[21\],227.66
_19252_,227.57
_22487_,227.47
_00403_,227.4
_25497_,227.31
_20197_,227.01
_20021_,226.96
_25199_,226.46
_24552_,225.915
_24561_,225.77
_20313_,225.6
_20376_,225.6
_25149_,224.94
_27096_,224.89
_24571_,224.65
_26757_,224.59
_24546_,224.19
_27181_,224.18
_21972_,223.9
EC0.RF.wdata\[23\],223.75
_25169_,223.53
_23407_,223.52
_27990_,223.46
_20801_,223.325
_25914_,223.08
_26815_,223.075
_25158_,222.88
_25155_,222.72
_21115_,222.45
_20756_,222.13
_20915_,222.01
_19774_,221.96
_20945_,221.91
_25951_,221.87
_26759_,221.1
_26848_,220.21
_26284_,219.595
_25156_,219.59
_27323_,219.54
EC0.RF.wdata\[16\],219.53
_19281_,219.52
_24201_,219.48
_25570_,219.42
_26811_,218.92
_24295_,218.89
_26820_,218.79
_25942_,218.54
_25038_,218.41
_25539_,217.5
_25924_,217.46
_23041_,217.14
_21974_,217.04
EC0.RF.wdata\[7\],216.98
_26704_,216.56
_20002_,216.32
_20637_,216.32
_25528_,216.195
_27809_,216.13
_21381_,216
_20989_,215.485
_20500_,215.28
_20751_,215.26
_24305_,214.97
_26671_,214.22
_26795_,213.5
_26706_,213.42
_20117_,213.31
_21275_,213.135
_27551_,213.04
_26318_,212.6
_20098_,212.54
_20565_,212.53
_25590_,212.42
_27180_,212.4
_25417_,212.08
_25427_,212.08
_25162_,211.95
_25348_,211.68
_27850_,211.68
_26663_,211.38
_25013_,210.78
_25561_,209.88
_27248_,209.8
_20270_,209.62
_26745_,209.5
_20691_,209.43
_19289_,209.24
_20927_,209.21
_19283_,208.76
_23566_,208.69
_27361_,208.6
_27849_,208.52
_27770_,208.14
_25955_,208.13
_26710_,208.13
_20613_,207.48
_23613_,207.3
_25443_,207.03
_26890_,207
_25525_,206.91
_23421_,206.52
_26928_,206.1
_26272_,205.65
EC0.RF.wdata\[11\],205.62
_20383_,205.58
_20609_,205.285
_20646_,204.86
L1C0.l2_ack,204.61
L1C0.addr\[6\],204.28
_27666_,204.24
EC0.RF.wdata\[5\],204.2
EC0.RF.wdata\[6\],203.98
_19759_,203.745
_19451_,203.71
_23414_,203.67
EC0.RF.wdata\[4\],203.5
_27742_,203.42
_19967_,203.37
_21006_,203.26
_19073_,202.29
_25147_,202.27
_27732_,202.2
_27618_,202.08
_27324_,202.06
_20897_,201.94
_27575_,201.88
_20158_,201.6
_27399_,201.18
_20919_,201.16
_23191_,201.14
_19310_,200.83
_20282_,200.51
_25577_,200.46
_27923_,200.26
_20925_,200.16
_19760_,199.74
_20892_,199.59
_19229_,199.52
_23821_,199.44
_27656_,199.3
_27704_,199.22
_27694_,198.92
_26777_,198.82
EC0.RF.wdata\[18\],198.68
_26303_,198.62
_26443_,198.36
_20796_,197.54
_20316_,197.2
_19295_,197.15
_25918_,196.48
_00398_,196.33
_19258_,196.12
_26713_,195.94
_28104_,195.62
L1C0.l2_rdata\[4\],195.34
L1C0.l2_rdata\[5\],195.32
_26822_,195.07
_26797_,194.98
_24232_,194.92
_19911_,194.74
_20681_,194.59
_20871_,194.56
_20491_,194.55
_26775_,194.5
_26686_,194.1
_26677_,193.88
_26837_,193.76
_20673_,193.41
_26308_,193.395
_20460_,193.38
_23401_,193.3
EC0.RF.wdata\[19\],193.27
_20929_,193.22
_20338_,193.17
_20189_,193.06
_27808_,192.7
_19771_,192.26
_27285_,191.48
_25176_,191.38
L1C0.l2_rdata\[7\],191.34
_20354_,190.84
_20631_,190.65
_19141_,190.58
_22142_,190.34
_25447_,190.28
_26793_,190.26
_24581_,190.04
_25915_,190
_20296_,189.985
_19178_,189.92
_21072_,189.86
_20449_,189.16
_20455_,189.05
_27286_,188.96
_26813_,188.8
_19136_,188.7
_20684_,188.69
_27628_,188.38
L1C0.l2_rdata\[1\],188.14
_20324_,188.13
_27478_,188.02
_20905_,187.69
L1C0.l2_rdata\[0\],187.46
_19237_,187.21
_27437_,186.84
_20106_,186.17
_25512_,186.115
_00381_,185.33
_23456_,185.29
_23465_,185.29
_21099_,184.995
_25694_,184.88
_23627_,184.82
_27780_,184.82
_20623_,184.78
_19152_,184.3
_20153_,184.22
_19101_,184.09
_20357_,183.98
_24767_,183.96
_20442_,183.8
_26333_,183.675
_20355_,183.165
_25024_,183.08
_20461_,182.84
_20368_,182.38
_24760_,182.22
_23471_,181.95
_20261_,181.88
_20387_,181.62
_27042_,181.5
_25478_,181.22
_20184_,180.3
_26850_,180.23
L1C1.l2_addr\[6\],180.22
_27124_,180.16
_19246_,180.07
_20426_,179.88
_22785_,179.65
_19197_,179.48
_25036_,178.72
_25452_,178.54
EC0.RF.wdata\[9\],178.53
_21070_,178.37
_25581_,178.37
EC0.RF.wdata\[28\],178.24
_20466_,178.235
_26668_,178.06
_25479_,177.85
_24349_,177.61
_27080_,177.44
_19131_,177.3
_20116_,177.27
_20053_,177.105
_25608_,177.06
_19256_,177.05
_20802_,176.56
_19365_,176.52
_25489_,176.36
_26708_,176.28
_25529_,176.13
_21871_,175.9
_26661_,175.78
_25166_,175.67
_24364_,175.5
_19139_,175.48
_19269_,175.45
_20265_,175.44
net2,175.4
L1C0.l2_rdata\[2\],175.36
_20676_,175.32
_19530_,175.22
_26652_,174.98
_19537_,174.88
_20294_,174.83
_19168_,174.73
_26655_,174.66
_19116_,174.62
_20678_,174.47
_23476_,174.4
_25490_,174.4
_25491_,174.26
_23641_,174.03
_19881_,174
_20301_,173.92
EC0.RF.wdata\[15\],173.76
_23378_,173.76
EC0.RF.wdata\[12\],173.7
_21705_,173.53
_20737_,173.12
L1C0.l2_rdata\[6\],173.02
_25351_,172.94
_25352_,172.86
_20192_,172.84
_26654_,172.83
_20257_,172.63
_19184_,172.55
_20280_,171.99
_20521_,171.94
_19781_,171.85
_23776_,171.5
_19151_,171.385
_25552_,171.345
_19873_,170.97
_25480_,170.94
_19287_,170.76
_20635_,170.54
_19179_,170.32
_20546_,170.17
_20364_,170.11
_20372_,170.02
EC0.RF.wdata\[13\],169.52
_27922_,169.52
_19973_,169.1
_20579_,168.87
EC0.RF.wdata\[31\],168.72
EC0.RF.wdata\[25\],168.47
clknet_6_53__leaf_clk,168.24
clknet_leaf_560_clk,168.14
L1C0.l2_rdata\[3\],168.12
_28065_,168.06
_27818_,167.82
_20348_,167.76
L1C1.l2_addr\[7\],167.42
_25375_,167.3
_24547_,167.2
_20934_,167.09
clknet_leaf_765_clk,167.06
_27861_,167.04
_20651_,166.87
_27247_,166.74
_20733_,166.64
_19231_,166.23
EC0.dmem_rdata\[0\],166.12
_19902_,166.04
_25937_,166.02
_19841_,165.86
_20557_,165.86
_25501_,165.35
_19642_,165.28
_25520_,165.195
EC0.RF.wdata\[29\],164.8
EC0.RF.wdata\[24\],164.79
_26966_,164.78
_20163_,164.59
_27004_,164.22
_28142_,164.11
_27066_,164.095
_21770_,163.81
_20361_,163.765
_28141_,163.54
_20418_,163.39
_19476_,163.11
_20545_,163.02
_26150_,162.94
_24337_,162.86
_28231_,162.64
_25943_,162.55
_20830_,162.14
_26553_,162.12
_25521_,161.97
_20043_,161.9
_20670_,161.88
_24566_,161.67
_24837_,161.52
_25571_,161.48
_19767_,161.255
_21116_,161.21
_25492_,161.1
clknet_leaf_794_clk,161.04
_28193_,160.8
_19643_,160.33
_20132_,160.32
_20463_,160.32
_19089_,159.93
_26302_,159.92
_28103_,159.86
_26269_,159.44
_25164_,159.34
EC0.RF.wdata\[10\],159.15
_26380_,158.72
_20402_,158.52
_19235_,158.4
_20473_,158.38
_21425_,158.36
_24781_,158.34
_23490_,158.16
_19294_,158.105
_20728_,158.06
_26646_,157.82
_19912_,157.7
_26691_,157.64
_20818_,157.61
_19080_,157.215
_26077_,157.2
_19117_,157.07
_25494_,156.71
EC0.RF.wdata\[27\],156.62
_19206_,156.475
_24307_,156.4
_25967_,156.25
_24204_,156.21
_20326_,155.87
_25516_,155.86
_23823_,155.84
_20142_,155.76
_20120_,155.72
_20603_,155.49
_26361_,155.42
_26717_,155.39
_20736_,155.32
_19280_,155.16
_20622_,155.14
EC0.RF.wdata\[30\],155.075
_20629_,154.98
_23198_,154.66
_19268_,154.62
EC0.dmem_rdata\[2\],154.3
_21114_,154.25
_20668_,154.04
_26234_,153.98
_19205_,153.93
_25600_,153.88
_20648_,153.84
_26014_,153.64
_19276_,153.515
clknet_leaf_52_clk,153.42
_26632_,153.215
_25486_,152.92
_19641_,152.86
_19896_,152.76
_24961_,152.3
_26309_,152.16
_20696_,151.94
_20636_,151.86
_25481_,151.615
_19861_,151.46
EC0.RF.wdata\[0\],151.3
clknet_leaf_61_clk,151.28
clknet_leaf_159_clk,150.84
_19166_,150.69
_25507_,150.62
_27499_,150.58
_28027_,150.58
_19199_,150.57
clknet_leaf_682_clk,149.86
_20410_,149.84
_26719_,149.62
_25621_,149.56
_27482_,149.21
_20255_,149.18
_26059_,149
_00000_,148.94
_20287_,148.66
_26471_,148.58
_25534_,148.46
_28018_,148.28
_20697_,148.075
_20315_,147.96
_25153_,147.9
_19485_,147.88
_26696_,147.72
EC0.dmem_rdata\[1\],147.66
clknet_leaf_339_clk,147.47
clknet_leaf_810_clk,147.44
_24990_,147.38
_20068_,147.3
_25203_,147.28
_24826_,147.22
_27989_,147.22
_20267_,147.17
_25359_,147.16
_25200_,147.06
_20901_,146.98
_20256_,146.9
_19124_,146.88
_25484_,146.73
_19292_,146.72
_20186_,146.58
_25152_,146.1
_27261_,145.84
_21142_,145.75
EC0.dmem_rdata\[3\],145.69
_20453_,145.55
_25582_,145.32
_25503_,145.22
_25587_,145.16
_19782_,144.94
clknet_leaf_50_clk,144.9
L1C1.addr\[3\],144.66
_23573_,144.63
_20514_,144.62
_24979_,144.36
_28179_,144.18
_26343_,144.13
_20450_,143.795
_25795_,143.56
_19314_,143.49
_20152_,143.43
_26004_,143.42
clknet_leaf_446_clk,143.33
_26206_,143.28
_25858_,143.155
L1C0.l2_rdata\[25\],143.11
_20690_,143.11
_25562_,143.075
_23789_,142.86
_24257_,142.81
_25758_,142.74
_20494_,142.7
_26753_,142.68
_19130_,142.6
_25731_,142.58
_19110_,142.575
_20633_,142.5
_24216_,142.26
_27475_,142.205
_25418_,142.08
_20755_,142.04
L1C0.l2_rdata\[29\],141.96
clknet_leaf_72_clk,141.95
clknet_leaf_361_clk,141.91
_23580_,141.85
clknet_leaf_797_clk,141.755
_25488_,141.63
EC0.RF.wdata\[1\],141.61
clknet_leaf_26_clk,141.34
_24732_,141.24
_25667_,141.22
_21065_,141.155
_26721_,141.14
_19313_,141.07
EC0.RF.wdata\[3\],140.96
_19100_,140.74
_26489_,140.66
_19177_,140.63
_19262_,140.6
_20627_,140.47
clknet_leaf_498_clk,140.44
_25804_,140.38
clknet_leaf_403_clk,140.38
_19895_,140.3
clknet_leaf_750_clk,140.3
_25376_,140.28
L1C0.addr\[2\],140.18
_26516_,140.14
_25510_,140.08
_20671_,139.92
_25901_,139.875
clknet_leaf_307_clk,139.82
_25493_,139.74
_19275_,139.7
EC0.dmem_rdata\[9\],139.66
_28217_,139.46
_24967_,139.3
_19274_,139.2
clknet_leaf_210_clk,139.14
_27104_,139.075
_20950_,138.98
_26141_,138.88
clknet_leaf_51_clk,138.88
EC0.RF.wdata\[2\],138.82
clknet_leaf_780_clk,138.66
EC0.dmem_rdata\[7\],138.51
_27594_,138.46
_20314_,138.45
_24260_,138.32
_25767_,138.32
_25454_,138.22
clknet_leaf_449_clk,137.96
_28155_,137.85
_28123_,137.82
_26498_,137.8
_24231_,137.76
_20194_,137.73
_24808_,137.66
_26571_,137.59
_27299_,137.46
_19784_,137.405
_26243_,137.36
clknet_leaf_540_clk,137.33
clknet_leaf_312_clk,137.26
_26087_,137.24
clknet_leaf_253_clk,137.155
_20307_,137.1
_25602_,137.08
_26277_,136.89
_20669_,136.88
_24739_,136.86
_19196_,136.81
_25564_,136.78
clknet_leaf_170_clk,136.52
clknet_leaf_714_clk,136.46
clknet_leaf_237_clk,136.43
_26636_,136.38
clknet_leaf_626_clk,136.28
_25557_,135.96
_24357_,135.78
_25414_,135.555
_20329_,135.46
L1C0.addr\[3\],135.4
clknet_leaf_460_clk,135.26
clknet_leaf_184_clk,135.22
clknet_leaf_128_clk,135.18
clknet_leaf_58_clk,135.15
clknet_leaf_746_clk,135.14
_20994_,135.11
_26794_,134.82
_25487_,134.78
_28085_,134.76
_21925_,134.72
_28009_,134.7
clknet_leaf_824_clk,134.68
_20777_,134.49
clknet_leaf_367_clk,134.44
_26105_,134.42
_24813_,134.36
_25407_,134.28
_24259_,134.16
clknet_leaf_266_clk,134.16
_25358_,134.14
_25555_,134.14
_25927_,134.04
_19392_,134.01
_00001_,133.96
_24713_,133.88
_27136_,133.88
_25366_,133.8
_23779_,133.62
_19085_,133.6
clknet_leaf_442_clk,133.56
_19212_,133.54
clknet_leaf_158_clk,133.51
_20732_,133.475
_28117_,133.36
clknet_leaf_478_clk,133.36
_26526_,133.34
_20321_,133.3
EC0.dmem_rdata\[6\],133.14
_19156_,133.12
_20262_,133.06
_25785_,133.03
clknet_leaf_693_clk,132.94
_24766_,132.9
clknet_leaf_363_clk,132.88
_25216_,132.86
L1C0.l2_rdata\[24\],132.81
clknet_leaf_767_clk,132.74
clknet_leaf_292_clk,132.66
_20787_,132.48
_28079_,132.31
_26416_,132.28
_25969_,132.2
_25483_,132.18
clknet_leaf_733_clk,132.12
_19588_,131.92
clknet_leaf_659_clk,131.9
_20617_,131.875
_28170_,131.73
clknet_leaf_726_clk,131.72
clknet_leaf_417_clk,131.7
_19113_,131.48
clknet_leaf_193_clk,131.375
_20174_,131.35
_23429_,131.28
clknet_leaf_666_clk,131.25
_26824_,131.22
_19147_,131.2
PC1.EX_f7\[0\],131.18
clknet_leaf_423_clk,131.12
_20683_,131.06
L1C0.l2_rdata\[26\],130.98
_20374_,130.96
_22040_,130.96
clknet_leaf_845_clk,130.88
_26599_,130.76
_26096_,130.72
clknet_leaf_685_clk,130.58
clknet_leaf_3_clk,130.56
_25545_,130.48
clknet_leaf_457_clk,130.44
clknet_leaf_399_clk,130.4
_24806_,130.32
_20373_,130.22
_20365_,130.195
_23621_,130.07
_25649_,130.04
clknet_leaf_268_clk,129.99
clknet_leaf_67_clk,129.8
_27638_,129.74
_25961_,129.64
_20310_,129.62
_26650_,129.56
_28237_,129.44
_19159_,129.35
_26282_,129.3
_19474_,129.26
_20734_,129.25
clknet_leaf_282_clk,129.18
clknet_leaf_357_clk,129.18
_25903_,129.13
_19112_,129.07
_25458_,129.015
_19378_,128.92
clknet_leaf_776_clk,128.86
_24738_,128.6
_27127_,128.54
_20481_,128.42
_28199_,128.42
clknet_leaf_450_clk,128.36
_27593_,128.33
_24306_,128.26
_20804_,128.21
_20006_,128.2
clknet_leaf_278_clk,128.18
clknet_leaf_31_clk,128.16
clknet_leaf_86_clk,127.76
clknet_leaf_408_clk,127.74
